index,site_segment,site_offset,module_offset,file_offset
512,0x0C22,0x07F2,0x0CA12,0x0E012
513,0x0C22,0x07DF,0x0C9FF,0x0DFFF
514,0x0C22,0x07CC,0x0C9EC,0x0DFEC
515,0x0C22,0x07B9,0x0C9D9,0x0DFD9
516,0x0C22,0x07A6,0x0C9C6,0x0DFC6
517,0x0C22,0x0793,0x0C9B3,0x0DFB3
518,0x0C22,0x0780,0x0C9A0,0x0DFA0
519,0x0C22,0x0EC5,0x0D0E5,0x0E6E5
520,0x0C22,0x0EB3,0x0D0D3,0x0E6D3
521,0x0C22,0x0E7F,0x0D09F,0x0E69F
522,0x0C22,0x0E19,0x0D039,0x0E639
523,0x0C22,0x0E09,0x0D029,0x0E629
524,0x0C22,0x0DED,0x0D00D,0x0E60D
525,0x0C22,0x0DE2,0x0D002,0x0E602
526,0x0C22,0x0DD3,0x0CFF3,0x0E5F3
527,0x0C22,0x0DB7,0x0CFD7,0x0E5D7
528,0x0C22,0x0DAC,0x0CFCC,0x0E5CC
529,0x0C22,0x0D90,0x0CFB0,0x0E5B0
530,0x0C22,0x0D42,0x0CF62,0x0E562
531,0x0C22,0x0D2D,0x0CF4D,0x0E54D
532,0x0C22,0x0D0E,0x0CF2E,0x0E52E
533,0x0C22,0x0CF0,0x0CF10,0x0E510
534,0x0C22,0x0CD1,0x0CEF1,0x0E4F1
535,0x0C22,0x0C94,0x0CEB4,0x0E4B4
536,0x0C22,0x0C3E,0x0CE5E,0x0E45E
537,0x0C22,0x0C09,0x0CE29,0x0E429
538,0x0C22,0x0BCC,0x0CDEC,0x0E3EC
539,0x0C22,0x11D5,0x0D3F5,0x0E9F5
540,0x0C22,0x11C2,0x0D3E2,0x0E9E2
541,0x0C22,0x119C,0x0D3BC,0x0E9BC
542,0x0C22,0x1189,0x0D3A9,0x0E9A9
543,0x0C22,0x117A,0x0D39A,0x0E99A
